"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Lafayette",69.7173,164,69.2083,104,93.435,333,96.5423,310,109.146,295,113.332,321,-16.7895,330
"2017","Lamar",69.5955,170,68.0645,182,104.446,154,103.172,194,103.753,177,108.756,250,-5.58402,226
"2017","Lehigh",70.0407,140,69.5933,92,106.4,110,107.481,117,99.5684,66,103.252,144,4.22863,115
"2017","Liberty",63.8913,342,62.6607,342,102.134,198,99.9214,261,100.645,97,103.854,161,-3.93236,211
"2017","Lipscomb",75.6789,8,74.1399,6,108.851,65,107.277,121,104.988,203,106.972,218,0.305205,165
"2017","Little Rock",65.4842,322,63.201,336,100.201,241,98.2044,288,103.899,182,105.143,184,-6.93831,245
"2017","LIU Brooklyn",68.4777,232,66.9664,236,102.412,191,100.205,254,101.072,113,107.72,233,-7.51563,252
"2017","Long Beach St.",71.0292,94,69.5117,96,101.691,206,104.65,165,108.329,274,110.131,284,-5.48079,225
"2017","Longwood",70.8674,100,70.4482,61,93.0655,336,92.2034,340,114.202,338,117.356,343,-25.1524,347
"2017","Louisiana Lafayette",72.7935,40,72.1863,23,110.285,48,111.118,61,106.41,235,109.828,279,1.2897,146
"2017","Louisiana Monroe",65.9047,313,64.9191,305,97.0779,300,98.3126,286,105.086,207,106.855,214,-8.54197,262
"2017","Louisiana Tech",70.247,130,68.4504,155,108.906,64,107.933,107,95.4345,21,100.871,95,7.06197,93
"2017","Louisville",68.414,236,67.8548,195,112.3,26,117.217,22,96.2743,28,91.7057,8,25.511,9
"2017","Loyola Chicago",66.2469,306,65.6997,287,106.713,102,108.889,92,100.19,85,102.442,121,6.44763,97
"2017","Loyola Marymount",68.5648,227,67.162,218,101.39,216,103.014,198,103.709,175,103.411,150,-0.397319,175
"2017","Loyola MD",66.9575,287,66.1473,269,97.1885,299,98.405,284,101.392,122,104.218,166,-5.81285,227
"2017","LSU",73.1786,33,71.8609,27,102.443,190,109.632,80,113.24,335,109.882,280,-0.250257,172
"2017","Maine",69.0581,203,67.9062,193,92.0423,343,91.0709,346,109.751,308,110.694,292,-19.6236,337
"2017","Manhattan",71.8708,62,68.8371,124,96.4207,312,96.9855,306,106.207,229,107.624,231,-10.6386,287
