"gene","isoform","time","hi","lo","mean"
"ttn-1","b",3,0,0,0
"ttn-1","b",6,0,0,0
"ttn-1","c",0,0.399458,0.0999841,0.249721
"ttn-1","c",1,1.92795,1.33875,1.63335
"ttn-1","c",3,1.54021,1.04183,1.29102
"ttn-1","c",6,1.98379,0.910213,1.447
"ttn-1","d",0,0.0191517,0,0.00906914
"ttn-1","d",1,0.0057815,0,0.00212324
"ttn-1","d",3,0,0,0
"ttn-1","d",6,0,0,0
"ttn-1","e",0,1.2719,0.496306,0.884103
"ttn-1","e",1,0.0939069,0.0526229,0.0732649
"ttn-1","e",3,0.116333,0.0675252,0.0919293
"ttn-1","e",6,0.0711704,0.0188011,0.0449857
"ttn-1","f",0,11.1993,3.23549,7.21741
"ttn-1","f",1,0.869967,0.641541,0.755754
"ttn-1","f",3,1.37946,1.03924,1.20935
"ttn-1","f",6,1.60341,0.819048,1.21123
"ttn-1","g",0,0.294426,0.108515,0.20147
"ttn-1","g",1,0.0636196,0.0317453,0.0476824
"ttn-1","g",3,0.128281,0.07602,0.10215
"ttn-1","g",6,0.377873,0.175317,0.276595
"ttn-1","h",0,10.0579,2.98866,6.52327
"ttn-1","h",1,7.71325,5.5625,6.63787
"ttn-1","h",3,1.06168,0.793828,0.927753
"ttn-1","h",6,1.30448,0.663943,0.98421
