Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
130,AB,32,6,37.09,19.62,30.09,3.02,16.25,14.41,5.61,0.5,10
138,AB,29,4,36.47,18.45,28.59,2.69,26.96,20.13,21.21,0.5,12
141,AB,36,5,17.74,12.01,13.95,2.68,19.53,26.37,16.13,0.5,11
145,AB,31,6,32.72,17.7,26.73,1.35,14.35,11.15,8.49,0.5,24
148,AB,27,4,30.02,16.34,24.91,3.04,28.29,17.92,22.18,2.07,7
149,AB,26,4,34.2,17.23,26.66,1.73,17.38,14.74,13.5,4.97,4
157,AB,25,3,37.71,18.86,32.61,3.96,40.98,39.67,58.91,9.44,4
162,AB,28,5,36.06,20.99,30.23,3.44,24.4,22.39,17.74,6.22,16
164,AB,29,5,33.39,18.58,34.72,4.38,33.8,35.77,24.92,6.5,8
167,AB,25,3,20.92,13.53,15.43,2.36,30.65,25.96,31.71,11.56,4
168,AB,25,3,34.01,17.86,33.47,2.33,26.27,22.55,23.98,5.94,6
177,AB,23,3,32.84,14.97,31.07,3.91,36.71,36.55,62.54,20.21,4
178,AB,31,4,29.11,15.8,21.62,1.32,14.98,16.14,9.37,6.27,4
179,AB,25,3,28.04,15.91,20.1,2.61,19.13,22.01,32.65,11.42,8
181,AB,26,3,31.56,16.92,25.31,3.21,37.2,38.78,25.1,7.54,4
183,AB,25,3,37.82,19.35,33.92,2.07,29.48,34.61,42.64,13.84,6
184,AB,36,5,22.94,15.8,16.88,2.5,19.95,18.63,11.32,3.94,8
186,AB,34,5,20.09,13.16,13.11,2.5,20.74,22.6,4.68,0.5,18
189,AB,30,5,39.06,20.05,33.71,3.06,39.78,26.62,5.15,0.5,8
191,AB,37,5,20.97,11.29,16.29,1.86,13.62,11.61,0.5,0.5,12
200,AB,24,3,33.72,17.29,31.41,2.84,34.76,33.08,47.53,11.18,8
204,AB,23,3,30.19,15,26.7,2.61,34.7,30.9,41.35,14.05,4
